model,seed,window_size,runtime,delay,precision,recall,specificity,f1-score,auc,false alarm rate,miss rate,gain,thresh,fold
Ensemble-ts,,7,0.009178763666568557,1.338,0.6842105263157895,0.8666666666666667,0.9999966664999916,0.7647058823529411,0.9333316665833291,1.1999900000833328,0.3999966666944442,1.6665944685582585,,4
DummyADL,0,7,0.05254541587855167,20.0,0.0,0.0,1.0,0.0,0.5,0.0,3.0161404271506984,4.088785431589043,0.5,5
DummyFall,0,7,0.0004658368558033498,0.0,5.864730777156081e-05,1.0,0.0,0.00011728773693311588,0.5,51425.43883484593,0.0,-0.3348819919217474,0.5,5
ExtraTrees,0,7,0.15810632633998525,4.243243243243243,0.78125,0.6756756756756757,0.9999984148482522,0.7246376811594203,0.8378370452619639,0.5706211618933754,0.9782077061029292,4.088880063327848,0.5,5
MiniRocket,0,7,1.3203664381292086,-0.22810810810810805,0.7380952380952381,0.8378378378378378,0.9999975090472536,0.7848101265822784,0.9189176734425457,0.8966903972610184,0.4891038530514646,4.088899566301781,0.5,5
Catch22,0,7,13.248873086060794,-1.4713513513513512,0.7333333333333333,0.8918918918918919,0.9999972825970039,0.8048780487804879,0.9459445872444479,0.9782077061029292,0.32606923536764304,4.088906528305071,0.5,5
QUANT,0,7,4.167635383802759,0.9764864864864865,0.8611111111111112,0.8378378378378378,0.9999988677487517,0.8493150684931506,0.9189183527932947,0.4075865442095538,0.4891038530514646,4.088907864517422,0.5,5
ResNet,0,7,2.8125447201931615,6.846486486486486,0.7037037037037037,0.5135135135135135,0.9999981883980026,0.59375,0.756755850955758,0.6521384707352861,1.4673115591543937,4.088853645174217,0.5,5
Ensemble-All,,7,0.015462933799972234,1.6572972972972972,0.8055555555555556,0.7837837837837838,0.9999984148482522,0.7945205479452054,0.8918910993160181,0.5706211618933754,0.6521384707352861,4.08889675340631,,5
Ensemble-ts,,7,0.0132022533334748,0.3935135135135136,0.775,0.8378378378378378,0.9999979619477529,0.8051948051948052,0.9189178998927954,0.7336557795771969,0.4891038530514646,4.08890233237366,,5
DummyADL,0,10,0.18692538155920008,20.0,0.0,0.0,1.0,0.0,0.5,0.0,2.9999750002083316,2.4442100525771617,0.5,1
DummyFall,0,10,0.002773399071753563,0.0,8.333333333333333e-05,1.0,0.0,0.00016665277893508876,0.5,35996.70002749977,0.0,-0.1443284817411169,0.5,1
ExtraTrees,0,10,0.46119702974846627,-1.0,0.9166666666666666,1.0,0.99999924236742,0.9565217391304348,0.99999962118371,0.27272500001893923,0.0,2.4442990861293485,0.5,1
