model,seed,window_size,runtime,delay,precision,recall,specificity,f1-score,auc,false alarm rate,miss rate,gain,fold,thresh
ResNet,0.0,3,1.748407770045746,2.888888888888889,0.7,0.7777777777777778,0.9999972221759252,0.7368421052631579,0.8888874999768515,0.9999916667361104,0.666661111157407,0.9999875060295418,3,0.5
MiniRocket,0.0,3,1.1974921041476942,0.4046666666666667,0.75,0.8,0.9999977777407402,0.7741935483870968,0.89999888887037,0.7999933333888885,0.5999950000416664,1.666648617140653,4,0.5
ResNet,0.0,3,1.463433229756655,1.2046666666666668,0.7058823529411765,0.8,0.9999972221759252,0.75,0.8999986110879625,0.9999916667361106,0.5999950000416664,1.6666472342813057,4,0.5
MiniRocket,0.0,3,1.2008813078049252,3.831081081081081,0.8235294117647058,0.7567567567567568,0.9999986413440368,0.7887323943661971,0.8783776990503969,0.4891038530514646,0.7336557795771969,4.089031000956388,5,0.5
ResNet,0.0,3,2.191064814453456,7.468108108108108,0.7586206896551724,0.5945945945945946,0.9999984149013764,0.6666666666666666,0.7972965047479854,0.5706211618933754,1.2227596326286616,4.089004582797281,5,0.5
MiniRocket,0.0,5,1.391138419340631,1.2727272727272727,0.7307692307692307,0.8636363636363636,0.9999973483964616,0.7916666666666666,0.9318168560164126,0.9545375000662872,0.4090875000284089,2.444381505597472,1,0.5
ResNet,0.0,5,3.427677507845507,-3.5,0.4130434782608695,0.8636363636363636,0.9999897723863522,0.5588235294117647,0.931813068011358,3.68178750025568,0.4090875000284089,2.444353848399647,1,0.5
MiniRocket,0.0,5,1.248358217887349,0.9058823529411764,0.8823529411764706,0.8823529411764706,0.9999990195751624,0.8823529411764706,0.9411759803758164,0.3529382353186272,0.3529382353186272,3.777692592592592,2,0.5
ResNet,0.0,5,1.7391234630448609,-2.985294117647059,0.7272727272727273,0.9411764705882352,0.9999970587254868,0.8205128205128205,0.9705867646568612,1.0588147059558817,0.1764691176593136,3.7776898751047914,2,0.5
MiniRocket,0.0,5,1.251628609189736,1.3333333333333333,0.5714285714285714,0.8888888888888888,0.9999944442592532,0.6956521739130435,0.9444416665740708,1.999983333472221,0.3333305555787035,0.9999708634783214,3,0.5
ResNet,0.0,5,1.8204566019694743,1.8888888888888888,0.35,0.7777777777777778,0.9999879625617152,0.4827586206896552,0.8888828701697464,4.333297222523146,0.666661111157407,0.9999570107634184,3,0.5
MiniRocket,0.0,5,1.381805348969097,2.6713333333333336,0.7058823529411765,0.8,0.9999972221296264,0.75,0.8999986110648133,0.9999916667361106,0.5999950000416664,1.6666194565024397,4,0.5
ResNet,0.0,5,1.5677097596367553,-4.328666666666667,0.6818181818181818,1.0,0.9999961109814772,0.8108108108108109,0.9999980554907386,1.399988333430555,0.0,1.66662920886965,4,0.5
MiniRocket,0.0,5,1.2191210754785082,2.2043243243243245,0.7317073170731707,0.8108108108108109,0.9999975090889944,0.7692307692307693,0.9054041599499028,0.8966903972610184,0.5706211618933754,4.088963912302873,5,0.5
